club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
2778,fc-nordsjaelland,Fc Nordsjaelland,DK1,,27,21.7,12,44.4,2,Right to Dream Park,10300,+€15.99m,,https://www.transfermarkt.co.uk/fc-nordsjaelland/startseite/verein/2778
11,fc-arsenal,Fc Arsenal,GB1,,23,25.1,16,69.6,18,Emirates Stadium,60704,€-168.56m,,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11
931,fc-fulham,Fc Fulham,GB1,,24,27.9,22,91.7,14,Craven Cottage,22384,€-49.60m,,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
631,fc-chelsea,Fc Chelsea,GB1,,33,25.0,22,66.7,22,Stamford Bridge,40853,€-543.66m,,https://www.transfermarkt.co.uk/fc-chelsea/startseite/verein/631
281,manchester-city,Manchester City,GB1,,24,26.8,16,66.7,17,Etihad Stadium,55017,+€11.70m,,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281
379,west-ham-united,West Ham United,GB1,,22,28.0,16,72.7,14,London Stadium,62500,€-172.45m,,https://www.transfermarkt.co.uk/west-ham-united/startseite/verein/379
2759,ross-county-fc,Ross County Fc,SC1,,26,25.6,17,65.4,0,Global Energy Stadium,6541,€-91k,,https://www.transfermarkt.co.uk/ross-county-fc/startseite/verein/2759
465,st-mirren-fc,St Mirren Fc,SC1,,22,26.7,13,59.1,6,The SMISA Stadium,8023,+€339k,,https://www.transfermarkt.co.uk/st-mirren-fc/startseite/verein/465
1241,livingston-fc,Livingston Fc,SC1,,23,26.9,11,47.8,0,Tony Macaroni Arena,9512,+-0,,https://www.transfermarkt.co.uk/livingston-fc/startseite/verein/1241
987,motherwell-fc,Motherwell Fc,SC1,,27,26.0,18,66.7,3,Fir Park,13750,+€225k,,https://www.transfermarkt.co.uk/motherwell-fc/startseite/verein/987
2578,st-johnstone-fc,St Johnstone Fc,SC1,,29,27.5,11,37.9,4,McDiarmid Park,10696,+-0,,https://www.transfermarkt.co.uk/st-johnstone-fc/startseite/verein/2578
370,aberdeen-fc,Aberdeen Fc,SC1,,26,24.6,20,76.9,4,Pittodrie Stadium,22199,+€6.69m,,https://www.transfermarkt.co.uk/aberdeen-fc/startseite/verein/370
180,fc-southampton,Fc Southampton,GB1,,30,25.3,21,70.0,15,St Mary's Stadium,32384,€-138.15m,,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
43,heart-of-midlothian-fc,Heart Of Midlothian Fc,SC1,,29,26.3,16,55.2,9,Tynecastle Park,19852,€-870k,,https://www.transfermarkt.co.uk/heart-of-midlothian-fc/startseite/verein/43
371,celtic-glasgow,Celtic Glasgow,SC1,,26,25.9,19,73.1,16,Celtic Park,60832,€-16.63m,,https://www.transfermarkt.co.uk/celtic-glasgow/startseite/verein/371
1003,leicester-city,Leicester City,GB1,,27,26.8,19,70.4,17,King Power Stadium,32273,+€33.40m,,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003
366,real-valladolid,Real Valladolid,ES1,,24,27.7,10,41.7,6,Nuevo José Zorrilla,27618,€-5.00m,,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
543,wolverhampton-wanderers,Wolverhampton Wanderers,GB1,,28,25.9,24,85.7,12,Molineux Stadium,32050,€-116.74m,,https://www.transfermarkt.co.uk/wolverhampton-wanderers/startseite/verein/543
237,rcd-mallorca,Rcd Mallorca,ES1,,25,27.7,14,56.0,9,Mallorca Son Moix,20500,€-8.80m,,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
367,rayo-vallecano,Rayo Vallecano,ES1,,25,28.4,8,32.0,6,Campo de Fútbol de Vallecas,15105,€-11.10m,,https://www.transfermarkt.co.uk/rayo-vallecano/startseite/verein/367
3302,ud-almeria,Ud Almeria,ES1,,27,25.6,14,51.9,3,Power Horse Stadium,15274,€-14.88m,,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
714,espanyol-barcelona,Espanyol Barcelona,ES1,,27,25.7,7,25.9,4,RCDE Stadium,40500,€-5.80m,,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
12321,fc-girona,Fc Girona,ES1,,25,26.4,11,44.0,3,Montilivi,13286,€-15.00m,,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
331,ca-osasuna,Ca Osasuna,ES1,,21,28.0,4,19.0,2,El Sadar,23576,€-2.00m,,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
903,hibernian-fc,Hibernian Fc,SC1,,24,26.0,15,62.5,4,Easter Road Stadium,20250,+€4.23m,,https://www.transfermarkt.co.uk/hibernian-fc/startseite/verein/903
3709,fc-getafe,Fc Getafe,ES1,,25,27.4,12,48.0,9,Coliseum Alfonso Pérez,16800,€-750k,,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
621,athletic-bilbao,Athletic Bilbao,ES1,,25,27.5,1,4.0,4,San Mamés,53289,+-0,,https://www.transfermarkt.co.uk/athletic-bilbao/startseite/verein/621
368,fc-sevilla,Fc Sevilla,ES1,,24,28.6,18,75.0,11,Ramón Sánchez-Pizjuán,43883,+€62.10m,,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
1049,fc-valencia,Fc Valencia,ES1,,25,25.0,14,56.0,9,Mestalla,48600,+€42.10m,,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
150,real-betis-sevilla,Real Betis Sevilla,ES1,,26,28.7,13,50.0,10,Benito Villamarín,59378,€-10.25m,,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150
1050,fc-villarreal,Fc Villarreal,ES1,,22,28.4,9,40.9,8,La Cerámica,23500,+€25.12m,,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
681,real-sociedad-san-sebastian,Real Sociedad San Sebastian,ES1,,26,25.4,5,19.2,3,Reale Arena,39313,+€27.50m,,https://www.transfermarkt.co.uk/real-sociedad-san-sebastian/startseite/verein/681
2553,kilmarnock-fc,Kilmarnock Fc,SC1,,26,25.6,15,57.7,1,"BBSP Stadium, Rugby Park",18128,+-0,,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553
131,fc-barcelona,Fc Barcelona,ES1,,22,25.1,9,40.9,18,Spotify Camp Nou,99354,€-119.00m,,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
418,real-madrid,Real Madrid,ES1,,23,28.0,16,69.6,14,Santiago Bernabéu,81044,+€12.15m,,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418
80,vfl-bochum,Vfl Bochum,L1,,28,27.9,17,60.7,7,Vonovia Ruhrstadion,26000,+€14.27m,,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80
33,fc-schalke-04,Fc Schalke 04,L1,,33,27.1,18,54.5,5,Veltins-Arena,62271,+€11.12m,,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
86,sv-werder-bremen,Sv Werder Bremen,L1,,26,24.9,9,34.6,6,Wohninvest-Weserstadion,42100,€-2.15m,,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86
1531,fc-elche,Fc Elche,ES1,,26,27.5,10,38.5,3,Manuel Martínez Valero,31388,€-7.66m,,https://www.transfermarkt.co.uk/fc-elche/startseite/verein/1531
